Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,10.762500,11.000000,10.762500,10.925000,3.475072,44000
1996-01-02,10.925000,11.026250,10.825000,10.901250,3.467519,34000
1996-01-03,10.901250,11.000000,10.900000,11.000000,3.498930,16000
1996-01-04,10.750000,10.875000,10.750000,10.750000,3.419409,24000
1996-01-05,10.500000,10.750000,10.500000,10.687500,3.399527,10000
1996-01-08,10.625000,10.625000,10.400000,10.400000,3.308079,10000
1996-01-09,10.428750,10.437500,10.401250,10.401250,3.308476,24000
1996-01-10,10.425000,10.425000,10.425000,10.425000,3.316030,2000
1996-01-11,10.275000,10.282500,10.275000,10.282500,3.270704,4000
1996-01-12,10.282500,10.327500,10.250000,10.251250,3.260763,38000
1996-01-15,10.251250,10.343750,10.287500,10.288750,3.272692,12000
1996-01-16,10.128750,10.153750,10.128750,10.153750,3.229750,6000
1996-01-17,10.063750,10.076250,10.063750,10.076250,3.205099,10000
1996-01-18,9.875000,9.950000,9.637500,9.637500,3.065540,10000
1996-01-19,9.637500,9.637500,9.637500,9.637500,3.065540,0
1996-01-22,9.637500,9.875000,9.625000,9.832500,3.127565,16000
1996-01-23,9.832500,9.850000,9.776250,9.776250,3.109673,8000
1996-01-24,9.750000,9.875000,9.750000,9.825000,3.125180,12000
1996-01-25,9.750000,9.825000,9.750000,9.775000,3.109275,16000
1996-01-26,9.775000,9.775000,9.775000,9.775000,3.109275,0
1996-01-29,9.775000,9.675000,9.550000,9.550000,3.037706,14000
1996-01-30,9.550000,9.875000,9.626250,9.626250,3.061961,6000
1996-01-31,9.626250,9.626250,9.626250,9.626250,3.061961,0
1996-02-01,9.875000,9.875000,9.625000,9.625000,3.061563,4000
1996-02-02,9.625000,9.700000,9.625000,9.700000,3.085419,14000
1996-02-05,9.812500,9.812500,9.750000,9.750000,3.101324,4000
1996-02-06,9.750000,9.812500,9.675000,9.812500,3.121204,12000
1996-02-07,9.751250,9.751250,9.750000,9.750000,3.101324,8000
1996-02-08,9.750000,9.750000,9.750000,9.750000,3.101324,0
1996-02-09,9.750000,10.125000,9.700000,9.700000,3.085419,46000
1996-02-12,9.700000,9.750000,9.750000,9.750000,3.101324,2000
1996-02-13,9.750000,9.750000,9.625000,9.625000,3.061563,12000
1996-02-14,9.500000,10.000000,9.500000,10.000000,3.180845,12000
1996-02-15,10.000000,10.125000,10.000000,10.000000,3.180845,34000
1996-02-16,10.000000,10.150000,10.050000,10.050000,3.196749,46000
1996-02-19,10.050000,9.875000,9.800000,9.850000,3.133132,14000
1996-02-20,9.850000,9.975000,9.625000,9.687500,3.081443,24000
1996-02-21,9.687500,9.687500,9.687500,9.687500,3.081443,0
1996-02-22,9.750000,9.875000,9.750000,9.875000,3.141084,18000
1996-02-23,9.875000,9.875000,9.875000,9.875000,3.141084,0
1996-02-26,9.875000,10.000000,9.875000,10.000000,3.180845,22000
1996-02-27,10.000000,10.125000,10.000000,10.100000,3.212653,14000
1996-02-28,9.875000,9.875000,9.750000,9.788750,3.113650,78000
